case_number,judge,date_filed,date_reopened,date_terminated,NOS,IsProse,group,is_prose,statistical_year
3:18-cv-00507-jdp,jdp,2018-07-02,,2019-09-23,442,n,Civil Rights,counseled,2019
3:18-cv-00509-jdp,jdp,2018-07-02,,2019-07-15,790,n,Labor,counseled,2019
3:18-cv-00508-jdp,jdp,2018-07-02,,2018-07-10,442,y,Civil Rights,pro se,2019
3:18-cv-00510-jdp,jdp,2018-07-03,,2019-12-18,440,y,Civil Rights,pro se,2019
3:18-cv-00511-slc,slc,2018-07-03,,2018-11-08,110,n,Contract,counseled,2019
3:18-cv-00512-jdp,jdp,2018-07-03,,2018-08-03,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00513-jdp,jdp,2018-07-03,,2018-08-03,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00517-wmc,wmc,2018-07-05,,2018-10-11,480,n,Other Statutes,counseled,2019
3:18-cv-00515-bbc,bbc,2018-07-05,,2019-07-25,440,y,Civil Rights,pro se,2019
3:18-cv-00514-jdp,jdp,2018-07-05,,2018-07-25,440,y,Civil Rights,pro se,2019
3:18-cv-00518-wmc,wmc,2018-07-06,,2019-04-03,190,n,Contract,counseled,2019
3:18-cv-00519-jdp,jdp,2018-07-09,,2018-10-15,791,n,Labor,counseled,2019
3:18-cv-00521-bbc,bbc,2018-07-09,,2018-11-01,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00522-slc,slc,2018-07-09,,2018-08-30,791,n,Labor,counseled,2019
3:18-cv-00516-bbc,bbc,2018-07-09,,2020-01-30,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00520-slc,slc,2018-07-09,,2020-08-11,530,y,Habeas Corpus,pro se,2019
3:18-cv-00523-wmc,wmc,2018-07-09,,2019-10-17,440,n,Civil Rights,counseled,2019
3:18-cv-00524-slc,slc,2018-07-09,,2020-10-09,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00525-bbc,bbc,2018-07-10,,2018-11-14,220,n,Real Property,counseled,2019
3:18-cv-00526-wmc,wmc,2018-07-10,,2019-11-18,864,n,Social Security,counseled,2019
3:18-cv-00527-jdp,jdp,2018-07-10,,2020-03-06,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00528-jdp,jdp,2018-07-10,,2020-03-09,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00529-wmc,wmc,2018-07-11,,2021-05-07,320,n,Torts/Personal Injury,counseled,2019
3:18-cv-00530-slc,slc,2018-07-11,,2019-11-05,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00531-wmc,wmc,2018-07-11,,2019-10-09,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00532-jdp,jdp,2018-07-11,,2019-08-28,195,n,Contract,counseled,2019
3:18-cv-00533-jdp,jdp,2018-07-11,,2018-08-23,480,n,Other Statutes,counseled,2019
3:18-cv-00534-jdp,jdp,2018-07-11,,2019-10-23,791,n,Labor,counseled,2019
3:18-cv-00535-jdp,jdp,2018-07-12,,2018-12-10,864,n,Social Security,counseled,2019
3:18-cv-00536-bbc,bbc,2018-07-12,,2019-03-13,864,n,Social Security,counseled,2019
3:18-cv-00537-jdp,jdp,2018-07-12,,2020-03-25,440,n,Civil Rights,counseled,2019
3:18-cv-00538-bbc,bbc,2018-07-12,,2019-02-12,422,n,Bankruptcy,counseled,2019
3:18-cv-00539-bbc,bbc,2018-07-13,,2018-10-19,443,n,Civil Rights,counseled,2019
3:18-cv-00540-jdp,jdp,2018-07-13,,2021-01-20,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00541-jdp,jdp,2018-07-13,,2020-06-15,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00542-wmc,wmc,2018-07-13,,2019-04-10,791,n,Labor,counseled,2019
3:18-cv-00543-jdp,jdp,2018-07-16,,2018-12-04,480,n,Other Statutes,counseled,2019
3:18-cv-00544-bbc,bbc,2018-07-16,,2019-02-14,863,n,Social Security,counseled,2019
3:18-cv-00545-jdp,jdp,2018-07-16,,2019-06-10,480,n,Other Statutes,counseled,2019
3:18-cv-00546-jdp,jdp,2018-07-16,,2018-08-17,555,y,Prisoner Petitions,pro se,2019
3:18-cv-00547-slc,slc,2018-07-16,,2018-08-29,480,n,Other Statutes,counseled,2019
3:18-cv-00555-jdp,jdp,2018-07-16,,2021-03-26,550,y,Prisoner Petitions,pro se,2019
3:18-cv-00548-slc,slc,2018-07-17,,2018-12-28,864,n,Social Security,counseled,2019
3:18-cv-00549-jdp,jdp,2018-07-17,,2019-03-13,864,n,Social Security,counseled,2019
3:18-cv-00550-wmc,wmc,2018-07-17,,2020-01-17,864,n,Social Security,counseled,2019
3:18-cv-00551-wmc,wmc,2018-07-17,,2018-10-11,791,n,Labor,counseled,2019
3:18-cv-00552-jdp,jdp,2018-07-17,,2019-06-28,550,n,Prisoner Petitions,counseled,2019
3:18-cv-00553-wmc,wmc,2018-07-17,,2018-08-10,442,n,Civil Rights,counseled,2019
18-554,wmc,2018-07-17,,,375,n,Personal Property,counseled,2019
3:18-cv-00556-bbc,bbc,2018-07-18,,2019-05-20,864,n,Social Security,counseled,2019
3:18-cv-00557-jdp,jdp,2018-07-18,,2019-06-04,865,n,Social Security,counseled,2019
