Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
47421,3:21-cv-00217-jdp                       ,21,jdp ,2021-04-01,,1 ,2022-07-26,751,42:12101  ,,,n,2021-04-01
47422,3:21-cv-00218-wmc                       ,21,wmc ,2021-04-01,,1 ,2022-01-03,863,42:0405wc ,,,n,2021-04-01
47423,3:21-cv-00215-wmc                       ,21,wmc ,2021-04-01,,1 ,2023-01-31,550,42:1983pr ,,,y,2021-04-01
47424,3:21-cv-00219-jdp                       ,21,jdp ,2021-04-01,,1 ,2021-11-30,864,42:0405id ,,,n,2021-04-01
47427,3:21-cv-00220-wmc                       ,21,wmc ,2021-04-02,,1 ,2022-09-02,330,45:0051   ,,,n,2021-04-02
47428,3:21-cv-00221-jdp                       ,21,jdp ,2021-04-02,,1 ,2022-02-23,110,28:1332bc ,4,5,n,2021-04-02
47429,3:21-cv-00222-jdp                       ,21,jdp ,2021-04-02,2021-07-16,4 ,2023-01-11,550,42:1983pr ,,,y,2021-07-16
47429,3:21-cv-00222-jdp                       ,21,jdp ,2021-04-02,2021-07-16,4 ,2023-01-11,550,42:1983pr ,,,y,2021-07-16
47430,3:21-cv-00223-wmc                       ,21,wmc ,2021-04-05,,1 ,,446,42:12101  ,,,n,2021-04-05
47435,3:21-cv-00225-wmc                       ,21,wmc ,2021-04-05,,1 ,2021-05-14,560,42:1983cv ,,,y,2021-04-05
47436,3:21-cv-00226-jdp                       ,21,jdp ,2021-04-05,,1 ,2021-05-17,550,42:1983pr ,,,y,2021-04-05
47437,3:21-cv-00224-wmc                       ,21,wmc ,2021-04-05,,1 ,2022-09-23,290,15:1692   ,,,y,2021-04-05
47438,3:21-cv-00227-jdp                       ,21,jdp ,2021-04-05,,1 ,2021-06-30,530,28:2254   ,,,y,2021-04-05
47439,3:21-cv-00228-jdp                       ,21,jdp ,2021-04-05,,1 ,2021-06-16,480,15:1692   ,,,n,2021-04-05
47442,3:21-cv-00229-slc                       ,21,slc ,2021-04-06,,1 ,2021-08-10,480,15:1681   ,,,n,2021-04-06
47443,3:21-cv-00230-wmc                       ,21,wmc ,2021-04-06,,2 ,2021-06-28,480,15:1681   ,,,n,2021-04-06
47444,3:21-cv-00231-jdp                       ,21,jdp ,2021-04-06,,1 ,2021-06-15,365,28:1332pl ,1,5,n,2021-04-06
47445,3:21-cv-00232-wmc                       ,21,wmc ,2021-04-06,,1 ,2021-04-09,550,42:1983pr ,,,y,2021-04-06
47446,3:21-cv-00233-jdp                       ,21,jdp ,2021-04-06,,1 ,2022-02-23,550,42:1983pr ,,,y,2021-04-06
47451,3:21-cv-00234-jdp                       ,21,jdp ,2021-04-07,,1 ,2022-02-04,865,42:0402   ,,,n,2021-04-07
47456,3:21-cv-00235-jdp                       ,21,jdp ,2021-04-08,,1 ,2021-05-07,480,15:1692   ,,,n,2021-04-08
47459,3:21-cv-00236-jdp                       ,21,jdp ,2021-04-08,,1 ,2023-03-06,385,28:1332pl ,1,5,n,2021-04-08
47460,3:21-cv-00237-bbc                       ,21,bbc ,2021-04-08,,1 ,2022-05-25,550,42:1983pr ,,,y,2021-04-08
47461,3:21-cv-00238-wmc                       ,21,wmc ,2021-04-08,,1 ,2023-03-21,350,28:1332wd ,3,1,n,2021-04-08
47462,3:21-cv-00239-wmc                       ,21,wmc ,2021-04-08,,1 ,2022-03-03,367,28:1391   ,1,5,n,2021-04-08
47467,3:21-cv-00240-bbc                       ,21,bbc ,2021-04-09,,1 ,2021-04-22,864,42:0405id ,,,y,2021-04-09
47468,3:21-cv-00241-jdp                       ,21,jdp ,2021-04-09,,2 ,2022-03-16,442,42:1981cv ,,,n,2021-04-09
47469,3:21-cv-00242-bbc                       ,21,bbc ,2021-04-12,,1 ,2021-04-26,440,42:1983cv ,,,y,2021-04-12
47473,3:21-cv-00243-slc                       ,21,slc ,2021-04-12,,2 ,2021-05-06,195,28:1441pl ,,,n,2021-04-12
47474,3:21-cv-00244-wmc                       ,21,wmc ,2021-04-12,,1 ,2022-10-18,440,42:1983pr ,,,y,2021-04-12
47607,3:21-cv-00294-wmc                       ,21,wmc ,2021-04-12,2021-08-09,4 ,,530,28:2254   ,,,y,2021-08-09
47607,3:21-cv-00294-wmc                       ,21,wmc ,2021-04-12,2021-08-09,4 ,,530,28:2254   ,,,y,2021-08-09
47475,3:21-cv-00245-slc                       ,21,slc ,2021-04-13,,5 ,,350,28:1332wd ,2,4,n,2021-04-13
