Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
47873,3:21-cv-00429-jdp                       ,21,jdp ,2021-07-02,,1 ,,442,28:1331ed ,,,n,2021-07-02
47874,3:21-cv-00430-jdp                       ,21,jdp ,2021-07-02,,1 ,2021-07-26,480,15:1692   ,,,n,2021-07-02
47875,3:21-cv-00431-jdp                       ,21,jdp ,2021-07-02,,2 ,2022-11-01,480,15:1681   ,,,n,2021-07-02
47876,3:21-cv-00432-jdp                       ,21,jdp ,2021-07-05,,2 ,2022-06-17,480,28:1441fc ,,,n,2021-07-05
47878,3:21-cv-00433-jdp                       ,21,jdp ,2021-07-06,,1 ,2022-04-08,550,42:1983pr ,,,y,2021-07-06
47879,3:21-cv-00434-jdp                       ,21,jdp ,2021-07-06,,2 ,2022-07-05,480,15:1681   ,,,n,2021-07-06
47880,3:21-cv-00435-jdp                       ,21,jdp ,2021-07-06,,1 ,2021-07-15,550,42:1983pr ,,,y,2021-07-06
47881,3:21-cv-00436-jdp                       ,21,jdp ,2021-07-06,,1 ,2021-08-27,550,42:1983pr ,,,y,2021-07-06
47882,3:21-cv-00437-wmc                       ,21,wmc ,2021-07-06,,2 ,2021-10-12,360,28:1441pr ,1,5,n,2021-07-06
47883,3:21-cv-00438-wmc                       ,21,wmc ,2021-07-06,,1 ,2023-04-21,790,28:1332ds ,1,2,n,2021-07-06
47884,3:21-cv-00439-wmc                       ,21,wmc ,2021-07-07,,1 ,2022-11-04,550,42:1983pr ,,,y,2021-07-07
47885,3:21-cv-00440-wmc                       ,21,wmc ,2021-07-07,,1 ,,530,28:2254   ,,,n,2021-07-07
47888,3:21-cv-00441-bbc                       ,21,bbc ,2021-07-08,,1 ,2021-08-23,530,28:2254   ,,,y,2021-07-08
47889,3:21-cv-00442-slc                       ,21,slc ,2021-07-08,,2 ,2021-09-08,690,28:1442pr ,,,n,2021-07-08
47893,3:21-cv-00444-jdp                       ,21,jdp ,2021-07-09,,2 ,2022-07-05,480,15:1681   ,,,n,2021-07-09
47894,3:21-cv-00443-jdp                       ,21,jdp ,2021-07-09,,1 ,2023-05-03,550,42:1983pr ,,,y,2021-07-09
47895,3:21-cv-00445-wmc                       ,21,wmc ,2021-07-12,,1 ,2021-11-17,530,28:2241   ,,,y,2021-07-12
47896,3:21-cv-00446-jdp                       ,21,jdp ,2021-07-13,,1 ,2022-05-06,440,42:1983cv ,,,y,2021-07-13
47902,3:21-cv-00447-wmc                       ,21,wmc ,2021-07-14,,2 ,2023-05-08,890,15:2301   ,,,n,2021-07-14
47905,3:21-cv-00448-jdp                       ,21,jdp ,2021-07-14,,2 ,2021-10-21,440,28:1441pr ,,,y,2021-07-14
47906,3:21-cv-00449-slc                       ,21,slc ,2021-07-14,,1 ,2022-03-04,443,42:3601   ,,,n,2021-07-14
47907,3:21-cv-00450-wmc                       ,21,wmc ,2021-07-15,,1 ,2021-11-03,830,15:1125   ,,,n,2021-07-15
47908,3:21-cv-00451-jdp                       ,21,jdp ,2021-07-16,,2 ,2021-08-25,367,28:1332ct ,1,5,n,2021-07-16
47911,3:21-cv-00452-jdp                       ,21,jdp ,2021-07-19,,1 ,2022-04-15,550,42:1983pr ,,,y,2021-07-19
47915,3:21-cv-00453-wmc                       ,21,wmc ,2021-07-19,,1 ,2022-07-11,440,42:1983pr ,,,n,2021-07-19
47916,3:21-cv-00454-wmc                       ,21,wmc ,2021-07-19,,1 ,2022-08-11,440,42:1983cv ,,,y,2021-07-19
47917,3:21-cv-00455-slc                       ,21,slc ,2021-07-20,,1 ,2022-03-21,864,42:0405id ,,,n,2021-07-20
47918,3:21-cv-00456-bbc                       ,21,bbc ,2021-07-20,,1 ,2021-09-10,550,42:1983pr ,,,y,2021-07-20
47919,3:21-cv-00457-jdp                       ,21,jdp ,2021-07-20,,1 ,2021-07-30,550,42:1983pr ,,,y,2021-07-20
47920,3:21-cv-00458-slc                       ,21,slc ,2021-07-20,,1 ,2022-09-28,865,42:0402   ,,,n,2021-07-20
47921,3:21-cv-00459-bbc                       ,21,bbc ,2021-07-20,,1 ,2021-10-06,530,28:2254   ,,,y,2021-07-20
47925,3:21-cv-00460-jdp                       ,21,jdp ,2021-07-20,,1 ,2022-05-12,360,28:1332ct ,2,4,n,2021-07-20
47926,3:21-cv-00462-jdp                       ,21,jdp ,2021-07-21,,1 ,2021-08-24,380,28:1346tc ,,,n,2021-07-21
47927,3:21-cv-00461-wmc                       ,21,wmc ,2021-07-21,,1 ,2021-08-27,440,42:1983cv ,,,y,2021-07-21
