Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
41549,3:18-cv-00232-bbc                       ,18,bbc ,2018-04-02,,1 ,2018-05-02,550,28:1331b  ,,,y,2018-04-02
41550,3:18-cv-00231-jdp                       ,18,jdp ,2018-04-02,,1 ,2019-02-21,440,42:1983cv ,,,y,2018-04-02
41553,3:18-cv-00234-jdp                       ,18,jdp ,2018-04-02,,1 ,2018-04-23,530,28:1331b  ,,,y,2018-04-02
41551,3:18-cv-00233-bbc                       ,18,bbc ,2018-04-03,,1 ,2018-07-18,864,42:0405id ,,,n,2018-04-03
41559,3:18-cv-00235-wmc                       ,18,wmc ,2018-04-04,,1 ,2019-09-25,791,29:1001   ,,,y,2018-04-04
41570,3:18-cv-00236-jdp                       ,18,jdp ,2018-04-05,,1 ,2019-05-22,830,35:0271   ,,,n,2018-04-05
41573,3:18-cv-00238-wmc                       ,18,wmc ,2018-04-06,,1 ,2020-05-04,550,42:1983pr ,,,n,2018-04-06
41574,3:18-cv-00237-wmc                       ,18,wmc ,2018-04-06,,1 ,2023-01-24,550,42:1983pr ,,,n,2018-04-06
41575,3:18-cv-00240-wmc                       ,18,wmc ,2018-04-06,,1 ,2019-05-29,550,42:1983pr ,,,y,2018-04-06
41577,3:18-cv-00241-slc                       ,18,slc ,2018-04-06,,1 ,2018-05-17,480,15:1692   ,,,n,2018-04-06
41581,3:18-cv-00239-bbc                       ,18,bbc ,2018-04-06,,1 ,2018-07-09,530,28:1331b  ,,,y,2018-04-06
41582,3:18-cv-00243-jdp                       ,18,jdp ,2018-04-09,,1 ,2018-11-27,791,29:1132   ,,,n,2018-04-09
41583,3:18-cv-00244-jdp                       ,18,jdp ,2018-04-09,,1 ,2018-11-06,864,42:0405id ,,,n,2018-04-09
41584,3:18-cv-00245-bbc                       ,18,bbc ,2018-04-09,,1 ,2019-06-18,442,42:2000e  ,,,n,2018-04-09
41585,3:18-cv-00246-wmc                       ,18,wmc ,2018-04-09,,1 ,2018-10-12,555,42:1983pr ,,,y,2018-04-09
41586,3:18-cv-00242-jdp                       ,18,jdp ,2018-04-09,,1 ,2018-04-16,530,28:2254   ,,,y,2018-04-09
41589,3:18-cv-00247-jdp                       ,18,jdp ,2018-04-10,,1 ,2019-09-26,442,42:12101  ,,,n,2018-04-10
41593,3:18-cv-00248-wmc                       ,18,wmc ,2018-04-10,,1 ,2020-05-29,530,28:2254   ,,,n,2018-04-10
41596,3:18-cv-00249-wmc                       ,18,wmc ,2018-04-11,2020-09-08,3 ,2021-04-20,555,42:1983pr ,,,y,2020-09-08
41596,3:18-cv-00249-wmc                       ,18,wmc ,2018-04-11,2020-09-08,3 ,2021-04-20,555,42:1983pr ,,,y,2020-09-08
41597,3:18-cv-00251-slc                       ,18,slc ,2018-04-11,,1 ,2018-04-13,710,29:0201fl ,,,n,2018-04-11
41598,3:18-cv-00250-wmc                       ,18,wmc ,2018-04-11,,1 ,2020-12-02,550,42:1983pr ,,,y,2018-04-11
41599,3:18-cv-00252-slc                       ,18,slc ,2018-04-11,,1 ,2018-06-05,480,15:1692   ,,,n,2018-04-11
41600,3:18-cv-00253-wmc                       ,18,wmc ,2018-04-12,,1 ,2020-02-04,555,42:1983pr ,,,y,2018-04-12
41601,3:18-cv-00254-jdp                       ,18,jdp ,2018-04-12,,5 ,2019-09-19,110,28:1332bc ,1,5,n,2018-04-12
41602,3:18-cv-00255-bbc                       ,18,bbc ,2018-04-12,,1 ,2018-04-18,555,42:1983pr ,,,y,2018-04-12
41603,3:18-cv-00256-jdp                       ,18,jdp ,2018-04-12,,1 ,2019-05-23,510,28:2255   ,,,y,2018-04-12
41604,3:18-cv-00257-wmc                       ,18,wmc ,2018-04-13,,1 ,2019-07-18,864,42:0405id ,,,n,2018-04-13
41605,3:18-cv-00258-wmc                       ,18,wmc ,2018-04-13,,1 ,2019-08-06,864,42:0405id ,,,n,2018-04-13
41606,3:18-cv-00260-slc                       ,18,slc ,2018-04-13,,2 ,2019-06-04,890,15:1601   ,,,n,2018-04-13
41607,3:18-cv-00259-wmc                       ,18,wmc ,2018-04-13,,1 ,2019-10-09,555,42:1983pr ,,,y,2018-04-13
41608,3:18-cv-00261-jdp                       ,18,jdp ,2018-04-13,,1 ,2019-08-12,385,28:1332pd ,5,5,n,2018-04-13
41611,3:18-cv-00262-wmc                       ,18,wmc ,2018-04-16,,1 ,2019-06-24,864,42:0405id ,,,n,2018-04-16
41612,3:18-cv-00263-jdp                       ,18,jdp ,2018-04-16,,1 ,2018-08-13,890,42:1396   ,,,n,2018-04-16
41613,3:18-cv-00264-wmc                       ,18,wmc ,2018-04-16,,1 ,2019-03-06,791,29:1132   ,,,n,2018-04-16
41614,3:18-cv-00265-slc                       ,18,slc ,2018-04-16,,1 ,2019-01-02,751,29:2601   ,,,n,2018-04-16
41620,3:18-cv-00267-wmc                       ,18,wmc ,2018-04-16,,1 ,2019-09-26,550,42:1983pr ,,,y,2018-04-16
41621,3:18-cv-00268-bbc                       ,18,bbc ,2018-04-16,,1 ,2018-05-31,550,42:1983pr ,,,y,2018-04-16
41615,3:18-cv-00266-wmc                       ,18,wmc ,2018-04-17,,1 ,2020-06-16,863,42:0427   ,,,n,2018-04-17
41624,3:18-cv-00269-jdp                       ,18,jdp ,2018-04-17,,1 ,2018-07-12,791,29:1132   ,,,n,2018-04-17
41625,3:18-cv-00270-bbc                       ,18,bbc ,2018-04-17,,1 ,2019-03-06,864,42:0405id ,,,n,2018-04-17
41626,3:18-cv-00271-wmc                       ,18,wmc ,2018-04-17,,1 ,2018-08-03,791,29:1132   ,,,n,2018-04-17
41627,3:18-cv-00272-slc                       ,18,slc ,2018-04-17,,1 ,2019-05-20,446,42:12101  ,,,n,2018-04-17
41629,3:18-cv-00273-jdp                       ,18,jdp ,2018-04-18,,1 ,2018-12-06,864,42:0405id ,,,n,2018-04-18
41630,3:18-cv-00274-jdp                       ,18,jdp ,2018-04-18,,1 ,2018-11-29,864,42:0405id ,,,n,2018-04-18
41631,3:18-cv-00276-jdp                       ,18,jdp ,2018-04-18,,5 ,2018-04-27,440,42:1983cv ,,,y,2018-04-18
41635,3:18-cv-00275-bbc                       ,18,bbc ,2018-04-18,,1 ,2018-05-16,530,28:2254   ,,,y,2018-04-18
41636,3:18-cv-00278-bbc                       ,18,bbc ,2018-04-18,,1 ,2018-10-23,510,28:2255   ,,,y,2018-04-18
41641,3:18-cv-00279-jdp                       ,18,jdp ,2018-04-18,,1 ,2019-08-02,830,35:0271   ,,,n,2018-04-18
41642,3:18-cv-00280-jdp                       ,18,jdp ,2018-04-18,,1 ,2019-08-02,830,35:0271   ,,,n,2018-04-18
41643,3:18-cv-00277-slc                       ,18,slc ,2018-04-18,,1 ,2020-09-08,550,42:1983pr ,,,y,2018-04-18
41648,3:18-cv-00282-wmc                       ,18,wmc ,2018-04-19,,1 ,2018-09-19,550,42:1983pr ,,,y,2018-04-19
41649,3:18-cv-00283-wmc                       ,18,wmc ,2018-04-19,,1 ,2018-09-06,710,29:0201do ,,,n,2018-04-19
41650,3:18-cv-00284-wmc                       ,18,wmc ,2018-04-19,,1 ,2018-11-27,480,15:1681   ,,,n,2018-04-19
41651,3:18-cv-00281-bbc                       ,18,bbc ,2018-04-19,,1 ,2018-07-16,440,42:1983cv ,,,y,2018-04-19
41652,3:18-cv-00285-wmc                       ,18,wmc ,2018-04-19,,1 ,2018-11-26,110,28:1332mv ,2,5,n,2018-04-19
41655,3:18-cv-00286-jdp                       ,18,jdp ,2018-04-19,,1 ,2018-08-07,367,28:1442pr ,,,n,2018-04-19
41667,3:18-cv-00287-jdp                       ,18,jdp ,2018-04-19,,1 ,2019-03-15,480,15:1692   ,,,n,2018-04-19
41668,3:18-cv-00288-wmc                       ,18,wmc ,2018-04-20,,1 ,2019-09-23,440,28:1983   ,,,n,2018-04-20
41669,3:18-cv-00289-jdp                       ,18,jdp ,2018-04-20,,1 ,2019-10-31,550,42:1983pr ,,,y,2018-04-20
41670,3:18-cv-00290-wmc                       ,18,wmc ,2018-04-20,,1 ,2021-09-29,865,42:1383   ,,,n,2018-04-20
41671,3:18-cv-00291-jdp                       ,18,jdp ,2018-04-23,,1 ,2018-08-14,830,35:0271   ,,,n,2018-04-23
41673,3:18-cv-00293-jdp                       ,18,jdp ,2018-04-23,,1 ,2018-04-24,830,35:0271   ,,,n,2018-04-23
41678,3:18-cv-00295-jdp                       ,18,jdp ,2018-04-23,,1 ,2018-05-01,510,28:2255   ,,,y,2018-04-23
41679,3:18-cv-00296-jdp                       ,18,jdp ,2018-04-23,,1 ,2018-05-21,550,42:1983pr ,,,y,2018-04-23
41681,3:18-cv-00297-slc                       ,18,slc ,2018-04-23,,1 ,2018-07-24,445,42:12101  ,,,n,2018-04-23
41685,3:18-cv-00298-jdp                       ,18,jdp ,2018-04-23,,1 ,2019-05-30,380,28:1332pd ,2,4,n,2018-04-23
41688,3:18-cv-00299-slc                       ,18,slc ,2018-04-24,,1 ,2018-09-25,864,42:0405id ,,,n,2018-04-24
41689,3:18-cv-00300-wmc                       ,18,wmc ,2018-04-24,,1 ,2018-09-24,864,42:0405id ,,,n,2018-04-24
41690,3:18-cv-00301-wmc                       ,18,wmc ,2018-04-24,,1 ,2019-08-19,442,42:2000ra ,,,n,2018-04-24
41695,3:18-cv-00302-wmc                       ,18,wmc ,2018-04-25,,1 ,2021-11-03,550,42:1983pr ,,,y,2018-04-25
41696,3:18-cv-00303-wmc                       ,18,wmc ,2018-04-25,,1 ,2020-09-18,550,42:1983pr ,,,y,2018-04-25
41697,3:18-cv-00304-wmc                       ,18,wmc ,2018-04-25,2019-12-02,4 ,2021-07-02,550,42:1983pr ,,,y,2019-12-02
41697,3:18-cv-00304-wmc                       ,18,wmc ,2018-04-25,2019-12-02,4 ,2021-07-02,550,42:1983pr ,,,y,2019-12-02
41700,3:18-cv-00292-wmc                       ,18,wmc ,2018-04-25,,1 ,2018-06-21,480,47:0227   ,,,n,2018-04-25
41701,3:18-cv-00294-jdp                       ,18,jdp ,2018-04-26,,1 ,2018-10-30,790,49:31105  ,,,n,2018-04-26
41702,3:18-cv-00305-bbc                       ,18,bbc ,2018-04-26,,1 ,2018-10-03,864,42:0405id ,,,n,2018-04-26
41705,3:18-cv-00306-jdp                       ,18,jdp ,2018-04-26,,1 ,2019-01-30,864,42:0405id ,,,n,2018-04-26
41708,3:18-cv-00307-jdp                       ,18,jdp ,2018-04-27,,1 ,2019-03-01,751,29:2601   ,,,n,2018-04-27
41709,3:18-cv-00308-bbc                       ,18,bbc ,2018-04-27,,5 ,2018-05-17,446,42:1981cv ,,,y,2018-04-27
41714,3:18-cv-00309-wmc                       ,18,wmc ,2018-04-30,,1 ,2019-11-08,440,42:1981cv ,,,n,2018-04-30
41717,3:18-cv-00310-wmc                       ,18,wmc ,2018-04-30,,1 ,2018-10-10,864,42:0405id ,,,n,2018-04-30
