Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg,Group
45087,3:20-cv-00002-jdp                       ,jdp ,2020-01-02,,2020-03-09,890,28:1332pr ,,,n,2020-01-02,Other Statutes
45086,3:20-cv-00001-jdp                       ,jdp ,2020-01-02,,2020-09-11,864,42:0405id ,,,n,2020-01-02,Social Security
45088,3:20-cv-00003-jdp                       ,jdp ,2020-01-02,,2020-02-05,550,28:1983   ,,,y,2020-01-02,Prisoner Petitions
45089,3:20-cv-00004-jdp                       ,jdp ,2020-01-02,,2021-01-12,555,42:1983pr ,,,y,2020-01-02,Prisoner Petitions
45090,3:20-cv-00005-wmc                       ,wmc ,2020-01-02,,,550,42:1983pr ,,,y,2020-01-02,Prisoner Petitions
45097,3:20-cv-00007-jdp                       ,jdp ,2020-01-06,,2022-01-20,480,28:1441fc ,,,n,2020-01-06,Other Statutes
45098,3:20-cv-00006-wmc                       ,wmc ,2020-01-06,,2022-04-13,550,42:1983pr ,,,y,2020-01-06,Prisoner Petitions
45099,3:20-cv-00008-jdp                       ,jdp ,2020-01-06,,2021-11-22,550,28:1983   ,,,y,2020-01-06,Prisoner Petitions
45121,3:20-cv-00009-wmc                       ,wmc ,2020-01-06,,2022-08-26,550,28:1983   ,,,y,2020-01-06,Prisoner Petitions
45122,3:20-cv-00016-wmc                       ,wmc ,2020-01-06,,,550,28:1983   ,,,y,2020-01-06,Prisoner Petitions
45100,3:20-cv-00010-wmc                       ,wmc ,2020-01-08,,2020-09-18,791,29:1132   ,,,n,2020-01-08,Labor
45101,3:20-cv-00011-wmc                       ,wmc ,2020-01-08,,2020-12-09,864,42:0405id ,,,n,2020-01-08,Social Security
45102,3:20-cv-00012-jdp                       ,jdp ,2020-01-08,,2020-02-13,190,28:2201dj ,1,5,n,2020-01-08,Contract
45104,3:20-cv-00013-jdp                       ,jdp ,2020-01-08,,2021-06-04,550,42:1983pr ,,,y,2020-01-08,Prisoner Petitions
45105,3:20-cv-00014-wmc                       ,wmc ,2020-01-08,,2020-12-08,362,28:1331   ,,,y,2020-01-08,Torts/Personal Injury
45106,3:20-cv-00015-jdp                       ,jdp ,2020-01-08,,2021-03-15,550,42:1983pr ,,,y,2020-01-08,Prisoner Petitions
45125,3:20-cv-00020-wmc                       ,wmc ,2020-01-08,,2021-10-04,510,28:2255   ,,,y,2020-01-08,Habeas Corpus
45119,3:20-cv-00017-bbc                       ,bbc ,2020-01-09,,2020-10-19,864,42:0405id ,,,n,2020-01-09,Social Security
45120,3:20-cv-00018-wmc                       ,wmc ,2020-01-09,,2020-06-17,864,42:0405id ,,,n,2020-01-09,Social Security
45123,3:20-cv-00019-jdp                       ,jdp ,2020-01-09,2023-02-13,,830,35:0271   ,,,n,2023-02-13,Property Rights
45123,3:20-cv-00019-jdp                       ,jdp ,2020-01-09,2023-02-13,,830,35:0271   ,,,n,2023-02-13,Property Rights
45126,3:20-cv-00021-wmc                       ,wmc ,2020-01-09,,,550,28:1983   ,,,y,2020-01-09,Prisoner Petitions
45127,3:20-cv-00022-jdp                       ,jdp ,2020-01-10,,2020-11-23,870,26:7401   ,,,n,2020-01-10,Federal Tax Suits
45130,3:20-cv-00023-bbc                       ,bbc ,2020-01-10,,2020-11-19,865,42:0405id ,,,n,2020-01-10,Social Security
45131,3:20-cv-00024-wmc                       ,wmc ,2020-01-10,,2022-12-13,550,42:1983pr ,,,y,2020-01-10,Prisoner Petitions
45132,3:20-cv-00025-wmc                       ,wmc ,2020-01-10,,2020-03-31,365,28:1332pl ,1,5,n,2020-01-10,Torts/Personal Injury
45133,3:20-cv-00026-wmc                       ,wmc ,2020-01-10,,2020-05-08,480,15:1692   ,,,n,2020-01-10,Other Statutes
45137,3:20-cv-00027-jdp                       ,jdp ,2020-01-13,,2020-10-27,371,15:1601   ,,,n,2020-01-13,Personal Property
45138,3:20-cv-00028-bbc                       ,bbc ,2020-01-13,,2021-06-08,550,42:1983pr ,,,y,2020-01-13,Prisoner Petitions
45140,3:20-cv-00029-jdp                       ,jdp ,2020-01-13,,2020-04-13,550,42:1983pr ,,,y,2020-01-13,Prisoner Petitions
45141,3:20-cv-00030-slc                       ,slc ,2020-01-13,,2020-02-11,480,15:1692   ,,,n,2020-01-13,Other Statutes
45142,3:20-cv-00031-jdp                       ,jdp ,2020-01-13,,2020-06-01,480,15:1692   ,,,n,2020-01-13,Other Statutes
45143,3:20-cv-00032-jdp                       ,jdp ,2020-01-13,,2021-01-15,442,49:31105  ,,,n,2020-01-13,Civil Rights
