de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
46556,12,oth_ord                  ,,motion                   ,dummyscr,13,2020-09-10,2020-09-10T15:20:24,1353789,rks ,Rachel Swanson,crt,clk
46510,23,oth_ord                  ,,motion                   ,dummyscr,24,2020-09-16,2020-09-16T17:05:57,24419,jef ,Joanne Friedl,crt,clk
46801,14,oth_ord                  ,,motion                   ,dummyscr,15,2020-10-26,2020-10-26T15:16:30,1446149,aom ,Amos Malone,crt,clk
46982,42,oth_ord                  ,,motion                   ,dummyscr,43,2020-12-08,2020-12-08T14:37:40,24419,jef ,Joanne Friedl,crt,clk
46980,104,oth_ord                  ,,motion                   ,dummyscr,105,2020-12-09,2020-12-09T09:59:10,1446149,aom ,Amos Malone,crt,clk
46899,36,oth_ord                  ,,motion                   ,dummyscr,37,2020-12-14,2020-12-14T09:29:44,24419,jef ,Joanne Friedl,crt,clk
46978,34,oth_ord                  ,,motion                   ,dummyscr,35,2020-12-18,2020-12-18T13:42:48,24419,jef ,Joanne Friedl,crt,clk
47045,53,oth_ord                  ,,motion                   ,dummyscr,54,2020-12-29,2020-12-29T13:37:08,1489502,lam ,Laura Miller,crt,clk
47074,34,oth_ord                  ,,motion                   ,dummyscr,35,2021-01-22,2021-01-22T14:02:39,24419,jef ,Joanne Friedl,crt,clk
47281,37,oth_ord                  ,,motion                   ,dummyscr,38,2021-02-17,2021-02-17T12:28:50,24419,jef ,Joanne Friedl,crt,clk
47093,34,oth_ord                  ,,motion                   ,dummyscr,35,2021-02-26,2021-02-26T15:16:28,1446149,aom ,Amos Malone,crt,clk
46253,52,oth_ord                  ,,motion                   ,dummyscr,53,2021-03-04,2021-03-04T17:05:50,24419,jef ,Joanne Friedl,crt,clk
47308,26,oth_ord                  ,,motion                   ,dummyscr,27,2021-03-09,2021-03-09T16:44:30,24419,jef ,Joanne Friedl,crt,clk
47376,44,oth_ord                  ,,motion                   ,dummyscr,45,2021-04-02,2021-04-02T17:24:12,24419,jef ,Joanne Friedl,crt,clk
40343,90,oth_ord                  ,,motion                   ,dummyscr,91,2021-05-06,2021-05-06T13:39:37,1518391,kmd ,Kim Davis,crt,clk
41765,60,motion                   ,,motion                   ,dummyscr,61,2021-05-18,2021-05-18T17:28:09,24419,jef ,Joanne Friedl,crt,clk
46219,56,oth_ord                  ,,motion                   ,dummyscr,57,2021-05-26,2021-05-26T12:46:58,1489502,lam ,Laura Miller,crt,clk
47684,22,oth_ord                  ,,motion                   ,dummyscr,23,2021-06-04,2021-06-04T15:11:52,24419,jef ,Joanne Friedl,crt,clk
47403,50,oth_ord                  ,,motion                   ,dummyscr,51,2021-06-09,2021-06-09T14:26:53,1518391,kmd ,Kim Davis,crt,clk
47779,35,oth_ord                  ,,motion                   ,dummyscr,36,2021-06-15,2021-06-15T12:59:08,24419,jef ,Joanne Friedl,crt,clk
47712,26,oth_ord                  ,,motion                   ,dummyscr,27,2021-06-15,2021-06-15T15:36:51,1489502,lam ,Laura Miller,crt,clk
47626,29,oth_ord                  ,,motion                   ,dummyscr,30,2021-06-21,2021-06-21T16:14:54,24419,jef ,Joanne Friedl,crt,clk
47880,22,oth_ord                  ,,motion                   ,dummyscr,23,2021-07-07,2021-07-07T08:46:18,1446149,aom ,Amos Malone,crt,clk
47918,15,oth_ord                  ,,motion                   ,dummyscr,16,2021-07-21,2021-07-21T12:01:54,1446149,aom ,Amos Malone,crt,clk
41154,17,motion                   ,1.0,motion                   ,dummyscr,18,2018-01-18,2018-01-18T16:30:03,661013,nln ,Nicole Nelson,crt,clk
41196,19,oth_ord                  ,,motion                   ,dummyscr,20,2018-01-26,2018-01-26T10:45:43,24419,jef ,Joanne Friedl,crt,clk
