de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
46278,34,cmp                      ,4,motion                   ,pwrithc ,35,2020-08-31,2020-08-31T14:05:34,1446149,aom ,Amos Malone,crt,clk
46511,8,cmp                      ,1,motion                   ,pwrithc ,9,2020-09-04,2020-09-04T14:36:34,1446149,aom ,Amos Malone,crt,clk
46579,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-09-14,2020-09-15T10:02:31,1446149,aom ,Amos Malone,crt,clk
46604,16,cmp                      ,1,motion                   ,pwrithc ,17,2020-09-21,2020-09-21T12:26:37,1446149,aom ,Amos Malone,crt,clk
46609,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-09-21,2020-09-21T15:33:18,1446149,aom ,Amos Malone,crt,clk
44071,80,cmp                      ,16,motion                   ,pwrithc ,81,2020-09-24,2020-09-24T11:19:34,1446149,aom ,Amos Malone,crt,clk
46706,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-10-09,2020-10-09T13:00:43,1446149,aom ,Amos Malone,crt,clk
46790,13,cmp                      ,1,motion                   ,pwrithc ,14,2020-10-23,2020-10-23T11:45:02,1446149,aom ,Amos Malone,crt,clk
46790,28,cmp                      ,5,motion                   ,pwrithc ,30,2020-11-10,2020-11-10T10:42:21,1446149,aom ,Amos Malone,crt,clk
46913,10,cmp                      ,1,motion                   ,pwrithc ,11,2020-11-16,2020-11-17T10:57:18,24419,jef ,Joanne Friedl,crt,clk
46917,12,cmp                      ,1,motion                   ,pwrithc ,13,2020-11-17,2020-11-17T16:02:15,1446149,aom ,Amos Malone,crt,clk
47014,11,cmp                      ,1,motion                   ,pwrithc ,12,2020-12-04,2020-12-04T12:51:58,1446149,aom ,Amos Malone,crt,clk
47048,12,cmp                      ,1,motion                   ,pwrithc ,13,2020-12-11,2020-12-11T16:26:06,1446149,aom ,Amos Malone,crt,clk
47052,12,cmp                      ,1,motion                   ,pwrithc ,13,2020-12-14,2020-12-14T16:20:28,1446149,aom ,Amos Malone,crt,clk
47102,9,cmp                      ,1,motion                   ,pwrithc ,10,2020-12-30,2020-12-30T16:25:04,24419,jef ,Joanne Friedl,crt,clk
47155,12,cmp                      ,1,motion                   ,pwrithc ,13,2021-01-19,2021-01-19T15:19:03,1446149,aom ,Amos Malone,crt,clk
47165,12,cmp                      ,1,motion                   ,pwrithc ,13,2001-01-19,2021-01-22T08:57:26,1446149,aom ,Amos Malone,crt,clk
47176,12,cmp                      ,1,motion                   ,pwrithc ,13,2021-01-27,2021-01-27T12:33:15,1446149,aom ,Amos Malone,crt,clk
47207,10,cmp                      ,1,motion                   ,pwrithc ,11,2021-01-29,2021-01-29T14:14:58,1446149,aom ,Amos Malone,crt,clk
47282,9,cmp                      ,1,motion                   ,pwrithc ,10,2021-02-16,2021-02-16T16:29:17,1446149,aom ,Amos Malone,crt,clk
47287,10,cmp                      ,1,motion                   ,pwrithc ,11,2021-02-18,2021-02-19T10:45:16,1446149,aom ,Amos Malone,crt,clk
47438,11,cmp                      ,1,motion                   ,pwrithc ,12,2021-04-05,2021-04-05T15:57:18,1446149,aom ,Amos Malone,crt,clk
47543,11,cmp                      ,1,motion                   ,pwrithc ,12,2021-04-19,2021-04-19T14:04:00,1446149,aom ,Amos Malone,crt,clk
47574,11,cmp                      ,1,motion                   ,pwrithc ,12,2021-04-23,2021-04-23T13:52:09,1446149,aom ,Amos Malone,crt,clk
47600,5,cmp                      ,1,motion                   ,pwrithc ,6,2021-04-28,2021-04-28T15:42:02,1518391,kmd ,Kim Davis,crt,clk
47607,11,cmp                      ,1,motion                   ,pwrithc ,12,2021-04-12,2021-04-30T11:26:19,1446149,aom ,Amos Malone,crt,clk
47621,10,cmp                      ,1,motion                   ,pwrithc ,11,2021-05-03,2021-05-03T15:38:09,1518391,kmd ,Kim Davis,crt,clk
47677,12,cmp                      ,1,motion                   ,pwrithc ,13,2021-05-14,2021-05-14T13:12:14,1446149,aom ,Amos Malone,crt,clk
47698,11,cmp                      ,1,motion                   ,pwrithc ,12,2021-05-19,2021-05-19T15:00:38,1446149,aom ,Amos Malone,crt,clk
47699,11,cmp                      ,1,motion                   ,pwrithc ,12,2021-05-19,2021-05-19T15:22:01,1446149,aom ,Amos Malone,crt,clk
38258,82,cmp                      ,22,motion                   ,pwrithc ,83,2021-05-20,2021-05-20T14:55:09,24419,jef ,Joanne Friedl,crt,clk
47744,9,cmp                      ,1,motion                   ,pwrithc ,10,2021-06-01,2021-06-01T16:50:35,24419,jef ,Joanne Friedl,crt,clk
47745,12,cmp                      ,1,motion                   ,pwrithc ,13,2021-06-01,2021-06-02T08:50:08,1446149,aom ,Amos Malone,crt,clk
47759,10,cmp                      ,1,motion                   ,pwrithc ,11,2021-06-07,2021-06-07T11:12:41,1446149,aom ,Amos Malone,crt,clk
47765,7,cmp                      ,1,motion                   ,pwrithc ,8,2021-06-07,2021-06-08T18:38:42,24419,jef ,Joanne Friedl,crt,clk
26576,5,cmp                      ,1,motion                   ,pwrithc ,6,2009-10-29,2009-10-30T10:04:21,20,elc ,Erica Clark,crt,clk
47841,10,cmp                      ,1,motion                   ,pwrithc ,11,2021-06-29,2021-06-29T12:21:53,1518391,kmd ,Kim Davis,crt,clk
47842,11,cmp                      ,1,motion                   ,pwrithc ,12,2021-06-29,2021-06-29T12:28:11,1489502,lam ,Laura Miller,crt,clk
47843,12,cmp                      ,1,motion                   ,pwrithc ,13,2021-06-28,2021-06-29T13:23:18,1446149,aom ,Amos Malone,crt,clk
47888,12,cmp                      ,1,motion                   ,pwrithc ,13,2021-07-08,2021-07-08T12:58:13,1446149,aom ,Amos Malone,crt,clk
47895,11,cmp                      ,1,motion                   ,pwrithc ,12,2021-07-12,2021-07-12T14:49:56,1446149,aom ,Amos Malone,crt,clk
47921,11,cmp                      ,1,motion                   ,pwrithc ,12,2021-07-20,2021-07-20T13:02:40,1446149,aom ,Amos Malone,crt,clk
41116,10,cmp                      ,1,motion                   ,pwrithc ,11,2018-01-08,2018-01-09T09:10:48,661013,nln ,Nicole Nelson,crt,clk
41220,7,cmp                      ,1,motion                   ,pwrithc ,8,2018-02-01,2018-02-01T15:12:34,20,elc ,Erica Clark,crt,clk
41235,10,cmp                      ,1,motion                   ,pwrithc ,11,2018-02-05,2018-02-06T11:09:03,661013,nln ,Nicole Nelson,crt,clk
