de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
43530,180,prmotion                 ,49,motion                   ,emerinj ,181,2020-12-16,2020-12-16T11:29:34,1446149,aom ,Amos Malone,crt,clk
46788,179,prmotion                 ,40,motion                   ,emerinj ,180,2021-03-04,2021-03-04T14:40:05,24419,jef ,Joanne Friedl,crt,clk
45768,93,prmotion                 ,21,motion                   ,emerinj ,94,2021-04-02,2021-04-02T10:11:48,1518391,kmd ,Kim Davis,crt,clk
41425,30,prmotion                 ,7,motion                   ,emerinj ,31,2018-05-04,2018-05-04T13:05:05,24419,jef ,Joanne Friedl,crt,clk
41836,26,prmotion                 ,2,motion                   ,emerinj ,27,2018-05-17,2018-05-17T15:40:33,24419,jef ,Joanne Friedl,crt,clk
41836,43,prmotion                 ,8,motion                   ,emerinj ,44,2018-05-25,2018-05-25T13:34:35,24419,jef ,Joanne Friedl,crt,clk
41834,46,prmotion                 ,13,motion                   ,emerinj ,47,2018-07-11,2018-07-11T11:57:06,24419,jef ,Joanne Friedl,crt,clk
42372,6,prmotion                 ,1,motion                   ,emerinj ,7,2018-08-17,2018-08-17T15:33:29,20,elc ,Erica Clark,crt,clk
42433,11,prmotion                 ,3,motion                   ,emerinj ,12,2018-08-27,2018-08-28T14:13:03,24419,jef ,Joanne Friedl,crt,clk
41835,51,prmotion                 ,9,motion                   ,emerinj ,52,2018-09-05,2018-09-05T11:24:43,20,elc ,Erica Clark,crt,clk
42890,14,prmotion                 ,1,motion                   ,emerinj ,15,2018-11-20,2018-11-20T14:05:28,1353789,rks ,Rachel Swanson,crt,clk
42893,9,prmotion                 ,1,motion                   ,emerinj ,10,2018-11-16,2018-11-20T16:18:22,24419,jef ,Joanne Friedl,crt,clk
43160,71,prmotion                 ,21,motion                   ,emerinj ,72,2019-02-15,2019-02-15T08:55:55,1353789,rks ,Rachel Swanson,crt,clk
41764,70,prmotion                 ,19,motion                   ,emerinj ,71,2019-03-07,2019-03-07T17:13:52,24419,jef ,Joanne Friedl,crt,clk
43050,29,prmotion                 ,7,motion                   ,emerinj ,30,2019-03-07,2019-03-07T17:13:52,24419,jef ,Joanne Friedl,crt,clk
43160,93,prmotion                 ,26,motion                   ,emerinj ,94,2019-03-12,2019-03-12T14:00:54,1353789,rks ,Rachel Swanson,crt,clk
43698,29,prmotion                 ,4,motion                   ,emerinj ,30,2019-04-26,2019-04-29T14:07:06,24419,jef ,Joanne Friedl,crt,clk
44720,16,prmotion                 ,2,motion                   ,emerinj ,17,2019-10-28,2019-10-28T14:06:25,24419,jef ,Joanne Friedl,crt,clk
45071,30,prmotion                 ,5,motion                   ,emerinj ,31,2020-01-21,2020-01-21T14:57:12,24419,jef ,Joanne Friedl,crt,clk
45071,38,prmotion                 ,7,motion                   ,emerinj ,39,2020-01-23,2020-01-23T12:05:37,24419,jef ,Joanne Friedl,crt,clk
45198,19,prmotion                 ,4,motion                   ,emerinj ,20,2020-01-31,2020-01-31T15:19:50,24419,jef ,Joanne Friedl,crt,clk
45305,35,prmotion                 ,5,motion                   ,emerinj ,36,2020-02-10,2020-02-11T16:30:09,24419,jef ,Joanne Friedl,crt,clk
45104,53,motion                   ,14,motion                   ,emerinj ,54,2020-02-26,2020-02-26T14:43:55,1446149,aom ,Amos Malone,crt,clk
45405,47,motion                   ,9,motion                   ,emerinj ,48,2020-03-23,2020-03-23T14:13:54,24419,jef ,Joanne Friedl,crt,clk
45104,58,prmotion                 ,15,motion                   ,emerinj ,59,2020-03-24,2020-03-24T14:28:48,24419,jef ,Joanne Friedl,crt,clk
45493,40,prmotion                 ,7,motion                   ,emerinj ,41,2020-03-30,2020-03-30T09:38:03,1446149,aom ,Amos Malone,crt,clk
45405,58,prmotion                 ,12,motion                   ,emerinj ,59,2020-04-06,2020-04-06T14:42:13,24419,jef ,Joanne Friedl,crt,clk
45747,9,motion                   ,1,motion                   ,emerinj ,10,2020-04-27,2020-04-27T17:46:27,24419,jef ,Joanne Friedl,crt,clk
44699,62,prmotion                 ,13,motion                   ,emerinj ,63,2020-04-29,2020-04-29T10:24:56,1446149,aom ,Amos Malone,crt,clk
44392,167,prmotion                 ,29,motion                   ,emerinj ,168,2020-05-19,2020-05-19T12:28:22,1446149,aom ,Amos Malone,crt,clk
47846,101,prmotion                 ,8,motion                   ,emerinj ,102,2021-09-01,2021-09-01T13:46:46,24419,jef ,Joanne Friedl,crt,clk
47895,37,prmotion                 ,6,motion                   ,emerinj ,38,2021-09-10,2021-09-10T10:32:08,24419,jef ,Joanne Friedl,crt,clk
