de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
44308,71,prose                    ,16,order                    ,leave   ,72,2020-09-02,2020-09-02T15:51:24,1353789,rks ,Rachel Swanson,crt,clk
46556,25,prose                    ,3,order                    ,leave   ,27,2020-09-16,2020-09-16T13:34:14,1353789,rks ,Rachel Swanson,crt,clk
42875,88,prose                    ,23,order                    ,leave   ,89,2020-09-16,2020-09-16T16:36:13,24419,jef ,Joanne Friedl,crt,clk
46608,22,prose                    ,5,order                    ,leave   ,23,2020-09-25,2020-09-25T11:37:54,1353789,rks ,Rachel Swanson,crt,clk
46163,31,prose                    ,6,order                    ,leave   ,32,2020-09-28,2020-09-28T10:18:04,1353789,rks ,Rachel Swanson,crt,clk
46092,46,prose                    ,11,order                    ,leave   ,47,2020-09-28,2020-09-28T10:23:55,1353789,rks ,Rachel Swanson,crt,clk
46105,60,prose                    ,15,order                    ,leave   ,61,2020-09-28,2020-09-28T14:54:44,1353789,rks ,Rachel Swanson,crt,clk
46374,48,prose                    ,8,order                    ,leave   ,49,2020-10-02,2020-10-02T16:42:00,1353789,rks ,Rachel Swanson,crt,clk
45625,64,prose                    ,13,order                    ,leave   ,65,2020-10-05,2020-10-05T16:09:51,1353789,rks ,Rachel Swanson,crt,clk
45723,27,prose                    ,4,order                    ,leave   ,28,2020-10-09,2020-10-09T10:58:16,1353789,rks ,Rachel Swanson,crt,clk
46347,50,prose                    ,11,order                    ,leave   ,51,2020-10-14,2020-10-14T13:55:16,1353789,rks ,Rachel Swanson,crt,clk
44899,57,prose                    ,14,order                    ,leave   ,58,2020-10-16,2020-10-16T14:15:12,1353789,rks ,Rachel Swanson,crt,clk
45076,71,prose                    ,15,order                    ,leave   ,72,2020-10-19,2020-10-19T13:51:16,24419,jef ,Joanne Friedl,crt,clk
45662,59,prose                    ,14,order                    ,leave   ,60,2020-10-20,2020-10-20T16:32:04,24419,jef ,Joanne Friedl,crt,clk
45099,70,prose                    ,10,order                    ,leave   ,71,2020-10-23,2020-10-23T14:07:28,1489502,lam ,Laura Miller,crt,clk
45882,59,prose                    ,10,order                    ,leave   ,60,2020-10-27,2020-10-27T12:19:29,24419,jef ,Joanne Friedl,crt,clk
46556,47,oth_ord                  ,7,order                    ,leave   ,48,2020-11-02,2020-11-02T16:47:47,661013,nln ,Nicole Nelson,crt,clk
45608,49,prose                    ,11,order                    ,leave   ,50,2020-11-05,2020-11-05T13:13:54,1489502,lam ,Laura Miller,crt,clk
45099,79,prose                    ,12,order                    ,leave   ,80,2020-11-09,2020-11-09T16:35:30,24419,jef ,Joanne Friedl,crt,clk
45163,152,prose                    ,40,order                    ,leave   ,153,2020-11-09,2020-11-09T17:04:09,24419,jef ,Joanne Friedl,crt,clk
45164,144,prose                    ,39,order                    ,leave   ,145,2020-11-09,2020-11-09T17:14:05,24419,jef ,Joanne Friedl,crt,clk
46207,35,prose                    ,6,order                    ,leave   ,36,2020-11-10,2020-11-10T12:27:02,1489502,lam ,Laura Miller,crt,clk
45229,80,prose                    ,18,order                    ,leave   ,81,2020-11-17,2020-11-17T10:02:23,1489502,lam ,Laura Miller,crt,clk
46445,19,oth_ord                  ,4,order                    ,leave   ,20,2020-11-19,2020-11-19T11:44:38,1489502,lam ,Laura Miller,crt,clk
46705,31,prose                    ,7,order                    ,leave   ,32,2020-11-23,2020-11-23T13:46:50,1489502,lam ,Laura Miller,crt,clk
44973,67,prose                    ,15,order                    ,leave   ,68,2020-11-23,2020-11-23T14:41:46,1489502,lam ,Laura Miller,crt,clk
46208,40,oth_ord                  ,8,order                    ,leave   ,43,2020-12-01,2020-12-01T15:02:39,1489502,lam ,Laura Miller,crt,clk
45660,84,oth_ord                  ,21,order                    ,leave   ,85,2020-12-03,2020-12-03T15:13:50,1489502,lam ,Laura Miller,crt,clk
46788,59,prose                    ,14,order                    ,leave   ,60,2020-12-04,2020-12-04T14:10:48,1489502,lam ,Laura Miller,crt,clk
46684,70,prose                    ,16,order                    ,leave   ,71,2020-12-04,2020-12-04T14:43:39,1489502,lam ,Laura Miller,crt,clk
45333,60,prose                    ,16,order                    ,leave   ,61,2020-12-08,2020-12-08T13:33:18,1489502,lam ,Laura Miller,crt,clk
46682,38,prose                    ,8,order                    ,leave   ,39,2020-12-09,2020-12-09T16:17:40,1489502,lam ,Laura Miller,crt,clk
46643,66,prose                    ,15,order                    ,leave   ,67,2020-12-09,2020-12-09T16:33:24,1489502,lam ,Laura Miller,crt,clk
46819,29,prose                    ,7,order                    ,leave   ,30,2020-12-11,2020-12-11T14:37:42,1489502,lam ,Laura Miller,crt,clk
47074,25,prose                    ,4,order                    ,leave   ,26,2021-01-06,2021-01-06T12:29:28,1489502,lam ,Laura Miller,crt,clk
46450,28,prose                    ,4,order                    ,leave   ,29,2021-01-11,2021-01-11T14:36:30,1489502,lam ,Laura Miller,crt,clk
41821,132,prose                    ,42,order                    ,leave   ,133,2021-01-11,2021-01-11T15:21:58,1489502,lam ,Laura Miller,crt,clk
46231,60,prose                    ,10,order                    ,leave   ,61,2021-01-11,2021-01-11T15:50:34,1489502,lam ,Laura Miller,crt,clk
46593,97,prose                    ,21,order                    ,leave   ,98,2021-01-12,2021-01-12T11:35:41,1489502,lam ,Laura Miller,crt,clk
45822,69,oth_ord                  ,18,order                    ,leave   ,70,2021-01-13,2021-01-13T14:46:43,1489502,lam ,Laura Miller,crt,clk
46580,41,prose                    ,9,order                    ,leave   ,42,2021-01-15,2021-01-15T13:35:56,1489502,lam ,Laura Miller,crt,clk
43011,164,oth_ord                  ,34,order                    ,leave   ,165,2021-01-20,2021-01-20T15:01:36,1489502,lam ,Laura Miller,crt,clk
46932,37,prose                    ,9,order                    ,leave   ,38,2021-01-21,2021-01-21T15:57:38,1489502,lam ,Laura Miller,crt,clk
46926,31,prose                    ,8,order                    ,leave   ,32,2021-01-21,2021-01-21T16:20:30,1489502,lam ,Laura Miller,crt,clk
