Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg,Group
41103,3:18-cv-00007-bbc                       ,bbc ,2018-01-02,,2018-01-31,510,28:2255   ,,,y,2018-01-02,Habeas Corpus
41091,3:18-cv-00003-wmc                       ,wmc ,2018-01-03,,2021-03-12,555,42:1983pr ,,,y,2018-01-03,Prisoner Petitions
41099,3:18-cv-00004-bbc                       ,bbc ,2018-01-04,,2019-02-04,550,42:1983cv ,,,y,2018-01-04,Prisoner Petitions
41106,3:18-cv-00008-wmc                       ,wmc ,2018-01-05,,2018-08-03,480,15:1681   ,,,y,2018-01-05,Other Statutes
41107,3:18-cv-00009-wmc                       ,wmc ,2018-01-05,,2018-08-03,370,28:1331bc ,,,y,2018-01-05,Personal Property
41108,3:18-cv-00010-wmc                       ,wmc ,2018-01-05,2020-03-13,2020-04-22,480,28:1330   ,,,y,2020-03-13,Other Statutes
41108,3:18-cv-00010-wmc                       ,wmc ,2018-01-05,2020-03-13,2020-04-22,480,28:1330   ,,,y,2020-03-13,Other Statutes
41115,3:18-cv-00017-wmc                       ,wmc ,2018-01-08,,2020-03-20,555,42:1983pr ,,,y,2018-01-08,Prisoner Petitions
41116,3:18-cv-00018-wmc                       ,wmc ,2018-01-08,,2021-11-23,530,28:2241   ,,,y,2018-01-08,Habeas Corpus
41121,3:18-cv-00019-jdp                       ,jdp ,2018-01-08,,2018-04-12,555,42:1983pr ,,,y,2018-01-08,Prisoner Petitions
41124,3:18-cv-00020-jdp                       ,jdp ,2018-01-08,,2019-02-01,863,42:0405wc ,,,y,2018-01-08,Social Security
41130,3:18-cv-00022-wmc                       ,wmc ,2018-01-10,,2018-02-08,550,28:1983   ,,,y,2018-01-10,Prisoner Petitions
41131,3:18-cv-00023-wmc                       ,wmc ,2018-01-10,,2018-08-30,555,42:1983pr ,,,y,2018-01-10,Prisoner Petitions
41132,3:18-cv-00024-jdp                       ,jdp ,2018-01-10,,2019-04-04,555,42:1983pr ,,,y,2018-01-10,Prisoner Petitions
41155,3:18-cv-00041-jdp                       ,jdp ,2018-01-12,,2018-10-18,550,42:1983pr ,,,y,2018-01-12,Prisoner Petitions
41145,3:18-cv-00034-bbc                       ,bbc ,2018-01-16,,2018-01-26,555,42:1983pr ,,,y,2018-01-16,Prisoner Petitions
41148,3:18-cv-00036-wmc                       ,wmc ,2018-01-17,,2018-01-19,863,42:0416   ,,,y,2018-01-17,Social Security
41154,3:18-cv-00040-jdp                       ,jdp ,2018-01-18,,2020-11-18,440,42:1983cv ,,,y,2018-01-18,Civil Rights
41158,3:18-cv-00044-wmc                       ,wmc ,2018-01-19,,2018-01-23,440,42:1981cv ,,,y,2018-01-19,Civil Rights
41159,3:18-cv-00045-wmc                       ,wmc ,2018-01-19,,2018-01-23,440,42:1981cv ,,,y,2018-01-19,Civil Rights
41162,3:18-cv-00048-bbc                       ,bbc ,2018-01-22,,2019-04-18,895,05:0552fi ,,,y,2018-01-22,Other Statutes
41163,3:18-cv-00049-jdp                       ,jdp ,2018-01-22,,2020-10-06,550,28:1331b  ,,,y,2018-01-22,Prisoner Petitions
41164,3:18-cv-00052-wmc                       ,wmc ,2018-01-23,,2019-02-20,555,42:1983pr ,,,y,2018-01-23,Prisoner Petitions
41166,3:18-cv-00051-jdp                       ,jdp ,2018-01-23,,2018-11-27,863,42:0205   ,,,y,2018-01-23,Social Security
41167,3:18-cv-00050-jdp                       ,jdp ,2018-01-23,,2020-01-08,442,42:1983ed ,,,y,2018-01-23,Civil Rights
41196,3:18-cv-00057-bbc                       ,bbc ,2018-01-26,2019-11-14,2020-07-07,555,42:1983pr ,,,y,2019-11-14,Prisoner Petitions
41196,3:18-cv-00057-bbc                       ,bbc ,2018-01-26,2019-11-14,2020-07-07,555,42:1983pr ,,,y,2019-11-14,Prisoner Petitions
41199,3:18-cv-00060-bbc                       ,bbc ,2018-01-26,,2019-07-24,555,42:1983pr ,,,y,2018-01-26,Prisoner Petitions
41204,3:18-cv-00061-wmc                       ,wmc ,2018-01-29,,2019-10-22,555,42:1983pr ,,,y,2018-01-29,Prisoner Petitions
41205,3:18-cv-00062-wmc                       ,wmc ,2018-01-29,,2019-12-19,550,42:1983pr ,,,y,2018-01-29,Prisoner Petitions
41206,3:18-cv-00063-jdp                       ,jdp ,2018-01-30,,2020-05-18,550,42:1983cv ,,,y,2018-01-30,Prisoner Petitions
41213,3:18-cv-00066-wmc                       ,wmc ,2018-01-31,,2018-11-26,555,42:1983pr ,,,y,2018-01-31,Prisoner Petitions
41215,3:18-cv-00068-bbc                       ,bbc ,2018-01-31,,2019-07-25,550,42:1983pr ,,,y,2018-01-31,Prisoner Petitions
41220,3:18-cv-00070-jdp                       ,jdp ,2018-02-01,,2018-07-16,530,28:2254   ,,,y,2018-02-01,Habeas Corpus
41227,3:18-cv-00074-wmc                       ,wmc ,2018-02-05,,2018-06-05,480,15:1692   ,,,y,2018-02-05,Other Statutes
41234,3:18-cv-00077-wmc                       ,wmc ,2018-02-05,,2022-01-25,550,42:1983pr ,,,y,2018-02-05,Prisoner Petitions
41235,3:18-cv-00078-jdp                       ,jdp ,2018-02-05,,2019-10-28,530,28:2254   ,,,y,2018-02-05,Habeas Corpus
41238,3:18-cv-00079-slc                       ,slc ,2018-02-05,,2021-09-17,550,42:1983pr ,,,y,2018-02-05,Prisoner Petitions
41240,3:18-cv-00081-jdp                       ,jdp ,2018-02-05,,2018-04-12,555,42:1983pr ,,,y,2018-02-05,Prisoner Petitions
41241,3:18-cv-00075-wmc                       ,wmc ,2018-02-05,2022-06-28,,530,28:2254   ,,,y,2022-06-28,Habeas Corpus
41242,3:18-cv-00082-bbc                       ,bbc ,2018-02-05,,2018-02-28,555,42:1983pr ,,,y,2018-02-05,Prisoner Petitions
41230,3:18-cv-00076-jdp                       ,jdp ,2018-02-05,,2018-04-16,550,42:1983pr ,,,y,2018-02-05,Prisoner Petitions
41243,3:18-cv-00083-jdp                       ,jdp ,2018-02-07,,2018-03-05,530,28:2254   ,,,y,2018-02-07,Habeas Corpus
41248,3:18-cv-00086-jdp                       ,jdp ,2018-02-08,,2018-07-26,550,28:2241   ,,,y,2018-02-08,Prisoner Petitions
41249,3:18-cv-00085-jdp                       ,jdp ,2018-02-08,,2019-02-25,864,42:0205   ,,,y,2018-02-08,Social Security
41258,3:18-cv-00091-slc                       ,slc ,2018-02-09,,2020-04-07,550,42:1983pr ,,,y,2018-02-09,Prisoner Petitions
41267,3:18-cv-00095-wmc                       ,wmc ,2018-02-13,,2018-05-30,530,28:2254   ,,,y,2018-02-13,Habeas Corpus
41272,3:18-cv-00100-wmc                       ,wmc ,2018-02-14,,2018-04-19,864,42:0427   ,,,y,2018-02-14,Social Security
41273,3:18-cv-00101-wmc                       ,wmc ,2018-02-14,,2018-04-19,863,42:0206   ,,,y,2018-02-14,Social Security
41274,3:18-cv-00102-jdp                       ,jdp ,2018-02-14,,2018-05-31,530,28:2254   ,,,y,2018-02-14,Habeas Corpus
41295,3:18-cv-00106-wmc                       ,wmc ,2018-02-15,,2018-04-19,863,42:0405wc ,,,y,2018-02-15,Social Security
41305,3:18-cv-00107-jdp                       ,jdp ,2018-02-15,,2019-05-20,555,42:1983pr ,,,y,2018-02-15,Prisoner Petitions
41317,3:18-cv-00110-bbc                       ,bbc ,2018-02-16,,2021-07-02,555,42:1983pr ,,,y,2018-02-16,Prisoner Petitions
41324,3:18-cv-00116-wmc                       ,wmc ,2018-02-19,2023-03-24,,550,42:1983pr ,,,y,2023-03-24,Prisoner Petitions
41328,3:18-cv-00118-wmc                       ,wmc ,2018-02-20,,2019-12-11,550,42:1983pr ,,,y,2018-02-20,Prisoner Petitions
41329,3:18-cv-00119-bbc                       ,bbc ,2018-02-20,,2018-05-21,530,28:2254   ,,,y,2018-02-20,Habeas Corpus
41344,3:18-cv-00126-wmc                       ,wmc ,2018-02-22,,2020-10-15,550,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41345,3:18-cv-00123-wmc                       ,wmc ,2018-02-22,,2019-05-14,555,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41346,3:18-cv-00127-wmc                       ,wmc ,2018-02-22,,2020-01-07,550,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41349,3:18-cv-00129-jdp                       ,jdp ,2018-02-22,,2018-06-19,445,29:0794   ,,,y,2018-02-22,Civil Rights
41357,3:18-cv-00131-wmc                       ,wmc ,2018-02-22,,2019-04-15,555,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41363,3:18-cv-00130-jdp                       ,jdp ,2018-02-22,,2020-03-26,555,42:1983pr ,,,y,2018-02-22,Prisoner Petitions
41361,3:18-cv-00134-wmc                       ,wmc ,2018-02-23,,2020-02-06,555,42:1983pr ,,,y,2018-02-23,Prisoner Petitions
41367,3:18-cv-00136-jdp                       ,jdp ,2018-02-26,,2018-12-14,864,42:0405id ,,,y,2018-02-26,Social Security
41368,3:18-cv-00138-wmc                       ,wmc ,2018-02-27,,2023-01-05,550,42:1983pr ,,,y,2018-02-27,Prisoner Petitions
41376,3:18-cv-00142-wmc                       ,wmc ,2018-02-28,2023-01-18,2023-03-27,555,42:1983pr ,,,y,2023-01-18,Prisoner Petitions
41382,3:18-cv-00143-wmc                       ,wmc ,2018-03-01,,2018-09-17,530,28:2254   ,,,y,2018-03-01,Habeas Corpus
41392,3:18-cv-00148-bbc                       ,bbc ,2018-03-02,,2019-04-18,895,05:0552fi ,,,y,2018-03-02,Other Statutes
41394,3:18-cv-00152-wmc                       ,wmc ,2018-03-05,,2021-07-20,555,42:1983pr ,,,y,2018-03-05,Prisoner Petitions
41423,3:18-cv-00160-jdp                       ,jdp ,2018-03-08,,2018-12-12,550,42:1983pr ,,,y,2018-03-08,Prisoner Petitions
41424,3:18-cv-00161-jdp                       ,jdp ,2018-03-08,,2018-08-27,555,42:1983pr ,,,y,2018-03-08,Prisoner Petitions
