Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,DateAgg,Group,DE SeqNum,de_type,DocNum,DP Type,DP SubType,DP SeqNum,Date Filed
41091,3:18-cv-00003-wmc                       ,wmc,2018-01-03,,2021-03-12,555,2018-01-03,Prisoner Petitions,13,cmp                      ,1,cmp                      ,cmp     ,14,2018-01-03
41099,3:18-cv-00004-bbc                       ,bbc,2018-01-04,,2019-02-04,550,2018-01-04,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-01-04
41106,3:18-cv-00008-wmc                       ,wmc,2018-01-05,,2018-08-03,480,2018-01-05,Other Statutes,10,cmp                      ,1,cmp                      ,cmp     ,11,2018-01-05
41107,3:18-cv-00009-wmc                       ,wmc,2018-01-05,,2018-08-03,370,2018-01-05,Personal Property,10,cmp                      ,1,cmp                      ,cmp     ,11,2018-01-05
41108,3:18-cv-00010-wmc                       ,wmc,2018-01-05,2020-03-13,2020-04-22,480,2020-03-13,Other Statutes,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-01-05
41115,3:18-cv-00017-wmc                       ,wmc,2018-01-08,,2020-03-20,555,2018-01-08,Prisoner Petitions,17,cmp                      ,1,cmp                      ,cmp     ,18,2018-01-08
41121,3:18-cv-00019-jdp                       ,jdp,2018-01-08,,2018-04-12,555,2018-01-08,Prisoner Petitions,8,cmp                      ,1,cmp                      ,cmp     ,9,2018-01-08
41124,3:18-cv-00020-jdp                       ,jdp,2018-01-08,,2019-02-01,863,2018-01-08,Social Security,6,cmp                      ,1,cmp                      ,cmp     ,7,2018-01-08
41130,3:18-cv-00022-wmc                       ,wmc,2018-01-10,,2018-02-08,550,2018-01-10,Prisoner Petitions,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-01-10
41131,3:18-cv-00023-wmc                       ,wmc,2018-01-10,,2018-08-30,555,2018-01-10,Prisoner Petitions,6,cmp                      ,1,cmp                      ,cmp     ,7,2018-01-10
41132,3:18-cv-00024-jdp                       ,jdp,2018-01-10,,2019-04-04,555,2018-01-10,Prisoner Petitions,15,cmp                      ,1,cmp                      ,cmp     ,16,2018-01-10
41155,3:18-cv-00041-jdp                       ,jdp,2018-01-12,,2018-10-18,550,2018-01-12,Prisoner Petitions,13,cmp                      ,1,cmp                      ,cmp     ,14,2018-01-12
41145,3:18-cv-00034-bbc                       ,bbc,2018-01-16,,2018-01-26,555,2018-01-16,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-01-16
