de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
42122,236,motion                   ,65,motion                   ,setagr  ,237,2021-01-05,2021-01-05T10:08:19,1446149,aom ,Amos Malone,crt,clk
44283,193,motion                   ,55,motion                   ,setagr  ,194,2021-05-17,2021-05-17T19:18:51,1267873,,John Fay,aty,
46221,88,motion                   ,24,motion                   ,setagr  ,89,2021-07-20,2021-07-20T12:51:47,1489502,lam ,Laura Miller,crt,clk
47996,11,motion                   ,1,motion                   ,setagr  ,12,2021-08-05,2021-08-05T11:30:49,1446149,aom ,Amos Malone,crt,clk
46115,98,motion                   ,29,motion                   ,setagr  ,99,2021-08-10,2021-08-10T17:18:33,10300,,Briane Pagel,aty,
45138,342,motion                   ,91,motion                   ,setagr  ,343,2021-08-13,2021-08-13T16:19:01,24419,jef ,Joanne Friedl,crt,clk
47266,110,motion                   ,23,motion                   ,setagr  ,111,2021-09-10,2021-09-10T09:01:13,24419,jef ,Joanne Friedl,crt,clk
45414,264,motion                   ,75,motion                   ,setagr  ,265,2021-09-10,2021-09-10T13:13:56,864108,,Kevin Grzebielski,aty,
44568,143,motion                   ,37,motion                   ,setagr  ,144,2021-09-10,2021-09-10T13:27:36,771397,,Emily McNee,aty,
45722,249,motion                   ,50,motion                   ,setagr  ,250,2021-10-08,2021-10-08T15:25:45,1442232,,Samir Jaber,aty,
48006,51,motion                   ,12,motion                   ,setagr  ,52,2021-10-18,2021-10-18T13:35:43,1446149,aom ,Amos Malone,crt,clk
48084,111,motion                   ,30,motion                   ,setagr  ,112,2021-11-01,2021-11-01T13:09:43,1446149,aom ,Amos Malone,crt,clk
45608,157,motion                   ,42,motion                   ,setagr  ,158,2021-11-03,2021-11-03T12:38:42,1446149,aom ,Amos Malone,crt,clk
45426,186,motion                   ,44,motion                   ,setagr  ,187,2021-11-03,2021-11-03T13:20:27,1446149,aom ,Amos Malone,crt,clk
47633,182,motion                   ,49,motion                   ,setagr  ,183,2021-11-05,2021-11-05T16:00:20,124843,,Timothy Johnson,aty,
48163,46,motion                   ,13,motion                   ,setagr  ,47,2021-11-19,2021-11-19T12:48:01,1446149,aom ,Amos Malone,crt,clk
46599,57,motion                   ,14,motion                   ,setagr  ,58,2021-11-22,2021-11-22T12:30:43,1518391,kmd ,Kim Davis,crt,clk
46164,134,motion                   ,35,motion                   ,setagr  ,135,2021-11-23,2021-11-23T08:31:21,1446149,aom ,Amos Malone,crt,clk
46599,63,motion                   ,15,motion                   ,setagr  ,64,2021-11-24,2021-11-24T11:21:46,1489502,lam ,Laura Miller,crt,clk
43408,969,motion                   ,256,motion                   ,setagr  ,970,2021-12-01,2021-12-01T16:34:04,24419,jef ,Joanne Friedl,crt,clk
47537,35,motion                   ,8,motion                   ,setagr  ,36,2021-12-10,2021-12-10T11:59:14,1518391,kmd ,Kim Davis,crt,clk
