de_caseid,de_seqno,de_document_num,dp_seqno,de_date_filed,dt_text
42685,762,,763,2020-08-31,Motions Taken Under Advisement: [253]    Motion for Shortened Time to File a Motion per Rule 11.           (jls)
46024,49,,50,2020-08-31,"Motions Taken Under Advisement: [10]  Motion to Reconsider Appointment of Counsel or in the Alternative Extend the Time to File His Brief.           (nln),(ps)"
43340,268,,269,2020-08-31,"Motions Taken Under Advisement: [68]  Transcript Request Form /  Motion for preparation of transcripts at government&#039;s expense.           (jef/cs),(ps)"
45138,107,,108,2020-08-31,"Motions Taken Under Advisement: (31 in 3:20-cv-00203-bbc)   Motion for Assistance in Recruiting Counsel, (26 in 3:20-cv-00028-bbc)   Motion for Assistance in Recruiting Counsel.           (nln),(ps)"
45463,111,,112,2020-08-31,"Motions Taken Under Advisement: (31 in 3:20-cv-00203-bbc)   Motion for Assistance in Recruiting Counsel, (26 in 3:20-cv-00028-bbc)   Motion for Assistance in Recruiting Counsel.           (nln),(ps)"
45407,41,,42,2020-08-31,"Motions Taken Under Advisement: [7]   Motion to Expedite Complaint Screening.           (nln),(ps)"
45948,83,,84,2020-08-31,"Motions Taken Under Advisement: [11]   Motion to Amend/Correct  [2], [2]   MOTION for Temporary Relief Pending Appeal & Stay, [19]    MOTION TO DISMISS <i></i>.           (nln),(ps)"
45457,43,,44,2020-08-31,Motions Taken Under Advisement: [12]    MOTION TO DISMISS.           (kwf)
46253,37,,38,2020-08-31,"Motions Taken Under Advisement: [8]   Motion to Amend  [1]  Complaint,.           (nln),(ps)"
46360,33,,34,2020-08-31,"Motions Taken Under Advisement: [3]   Motion for Leave to Proceed in forma pauperis.           (nln),(ps)"
46092,41,,42,2020-08-31,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (nln),(ps)"
45732,44,,45,2020-08-31,Motions Taken Under Advisement: [4]    MOTION TO DISMISS <i>Plaintiff&#039;s Breach of Warranty Claim</i>. No response filed.           (kwf)
45628,45,,46,2020-08-31,Motions Taken Under Advisement: [1]  Motion to Vacate Sentence per 28 U.S.C. 2255. No response filed.           (kwf)
42650,341,,342,2020-08-31,"Motions Taken Under Advisement: (89 in 3:18-cv-00831-jdp)   Motion for Assistance in Recruiting Counsel, (26 in 3:20-cv-00083-jdp, 90 in 3:18-cv-00831-jdp)   Motion for Assistance in Recruiting Counsel, (25 in 3:20-cv-00083-jdp)   Motion to change ca"
42650,341,,342,2020-08-31,"se caption, regarding gang incident.           (jef),(ps)"
45207,93,,94,2020-08-31,"Motions Taken Under Advisement: (89 in 3:18-cv-00831-jdp)   Motion for Assistance in Recruiting Counsel, (26 in 3:20-cv-00083-jdp, 90 in 3:18-cv-00831-jdp)   Motion for Assistance in Recruiting Counsel, (25 in 3:20-cv-00083-jdp)   Motion to change ca"
45207,93,,94,2020-08-31,"se caption, regarding gang incident.           (jef),(ps)"
40877,203,,204,2020-09-01,"Motions Taken Under Advisement: [48]   Motion to Reopen Case.           (aom),(ps)"
40855,272,,273,2020-09-02,"Motions Taken Under Advisement: [69]   Motion Pursuant to Federal Rule 60(b) for Error.           (aom),(ps)"
42685,778,,779,2020-09-02,Motions Taken Under Advisement: [213]    Motion to Amend/Correct  [204]  Amended Rule 26(a)(3) Pretrial Disclosures.           (jls)
